,city,trips_in_first_30_days,avg_rating_of_driver,avg_surge,phone,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver,active
96,Winterfell,11,4.1,1.0,iPhone,1.9000000000000001,True,76.9,4.89,4.6,1.0
97,Astapor,4,5.0,1.0,Android,0.0,True,75.0,5.36,5.0,0.0
98,King's Landing,1,4.3,1.02,iPhone,10.0,False,90.0,4.2,5.0,1.0
99,Astapor,73,4.9,1.0,Android,0.0,True,89.7,2.86,4.9,0.0
101,Astapor,1,5.0,1.17,Android,16.7,False,33.3,6.08,5.0,0.0
102,King's Landing,8,4.2,1.0,iPhone,0.0,True,50.0,2.15,4.9,1.0
103,Winterfell,2,4.4,1.0,iPhone,0.0,True,50.0,6.86,4.9,1.0
104,Winterfell,3,3.0,1.0,iPhone,0.0,True,63.6,4.08,4.9,1.0
105,Winterfell,0,5.0,1.0,Android,0.0,False,0.0,4.99,5.0,1.0
107,King's Landing,14,4.9,1.09,iPhone,15.9,False,50.0,10.79,4.9,1.0
108,Astapor,1,3.0,1.0,iPhone,0.0,False,100.0,9.14,5.0,0.0
110,Astapor,2,5.0,1.0,iPhone,0.0,True,50.0,5.25,5.0,1.0
111,King's Landing,1,4.7,1.0,iPhone,0.0,True,100.0,3.81,5.0,1.0
112,Astapor,1,4.8,1.0,iPhone,0.0,True,36.4,2.65,5.0,1.0
113,Winterfell,1,5.0,1.0,Android,0.0,False,33.3,10.29,3.7,0.0
114,Winterfell,1,4.4,1.05,Android,9.1,False,63.6,12.32,4.7,1.0
115,Astapor,0,4.0,1.0,iPhone,0.0,False,100.0,1.16,4.3,0.0
116,Winterfell,1,5.0,1.0,Android,0.0,False,100.0,0.0,5.0,0.0
117,Astapor,1,2.5,1.6300000000000001,iPhone,50.0,False,100.0,2.64,5.0,0.0
118,Winterfell,0,5.0,1.0,iPhone,0.0,True,85.7,16.85,5.0,1.0
120,Astapor,3,4.3,1.06,Android,11.1,True,88.9,2.67,4.9,0.0
121,Winterfell,2,4.9,1.0,iPhone,0.0,True,41.2,5.55,4.8,1.0
122,King's Landing,0,5.0,1.0,iPhone,0.0,False,0.0,1.58,5.0,1.0
123,Astapor,0,5.0,1.0,Android,0.0,True,33.3,1.78,5.0,0.0
124,Winterfell,0,5.0,1.0,iPhone,0.0,True,100.0,6.1,4.8,1.0
125,Winterfell,0,4.4,1.32,iPhone,20.0,True,90.0,8.14,4.6,0.0
126,Astapor,2,5.0,1.0,Android,0.0,False,100.0,6.04,4.5,0.0
127,Winterfell,2,4.0,1.3800000000000001,Android,50.0,True,0.0,2.92,5.0,1.0
128,Astapor,0,4.8,1.3,iPhone,20.0,False,20.0,2.81,4.3,0.0
129,Winterfell,3,5.0,1.0,iPhone,0.0,False,0.0,2.0,5.0,0.0
130,Astapor,0,4.5,1.0,Android,0.0,True,0.0,7.4,5.0,0.0
131,Astapor,0,5.0,1.0,Android,0.0,False,100.0,1.2,4.0,0.0
132,King's Landing,0,5.0,1.0,iPhone,0.0,True,100.0,2.64,5.0,1.0
133,Winterfell,2,3.8,1.06,iPhone,25.0,True,37.5,3.33,4.8,1.0
136,Winterfell,4,4.9,1.0,iPhone,0.0,False,43.8,3.22,4.5,1.0
137,Winterfell,1,5.0,1.0,iPhone,0.0,False,100.0,13.78,5.0,0.0
139,King's Landing,4,4.4,1.0,iPhone,0.0,True,45.5,10.47,4.6,1.0
140,King's Landing,2,5.0,1.0,iPhone,0.0,True,16.7,2.27,5.0,1.0
141,Winterfell,3,3.8,1.06,Android,8.3,False,41.7,1.68,4.7,0.0
142,King's Landing,1,4.5,1.1,iPhone,10.0,True,10.0,3.57,4.8,1.0
143,King's Landing,2,5.0,1.0,iPhone,0.0,False,40.0,11.63,4.8,1.0
144,Winterfell,0,5.0,1.0,iPhone,0.0,True,100.0,0.9500000000000001,5.0,1.0
145,King's Landing,11,5.0,1.03,iPhone,2.3,True,57.5,4.86,4.7,1.0
146,Winterfell,0,5.0,1.0,iPhone,0.0,True,100.0,4.97,5.0,0.0
147,Winterfell,7,3.7,1.09,iPhone,3.8,False,57.7,5.44,4.6,1.0
149,Astapor,0,4.8,1.21,iPhone,21.4,True,28.6,3.42,5.0,1.0
150,King's Landing,10,4.5,1.14,iPhone,22.9,False,62.9,1.6400000000000001,4.8,1.0
151,Winterfell,0,5.0,1.17,iPhone,33.3,False,66.7,4.43,4.7,1.0
152,Winterfell,0,5.0,1.0,iPhone,0.0,True,0.0,4.01,5.0,0.0
153,Winterfell,2,4.0,1.0,iPhone,0.0,True,50.0,2.1,4.4,0.0
154,Winterfell,2,5.0,1.0,iPhone,0.0,True,50.0,7.63,5.0,0.0
155,Winterfell,4,4.5,1.0,iPhone,0.0,False,0.0,1.8900000000000001,4.5,0.0
156,Winterfell,1,4.0,1.0,Android,0.0,False,100.0,3.18,5.0,0.0
157,Winterfell,1,5.0,1.0,Android,0.0,False,20.0,3.72,5.0,0.0
158,Astapor,0,5.0,1.0,iPhone,0.0,False,100.0,3.8,4.7,0.0
159,Astapor,1,5.0,1.0,Android,0.0,False,0.0,18.03,5.0,0.0
160,Astapor,1,5.0,1.0,iPhone,0.0,True,30.0,2.92,4.7,1.0
161,King's Landing,0,4.9,1.0,iPhone,0.0,True,42.9,2.03,4.7,1.0
162,Astapor,1,5.0,1.0,iPhone,0.0,False,0.0,12.6,5.0,0.0
163,King's Landing,2,5.0,1.0,iPhone,0.0,True,42.9,2.86,5.0,1.0
164,King's Landing,5,5.0,1.0,Android,0.0,True,100.0,18.57,5.0,1.0
165,Astapor,2,5.0,1.6300000000000001,iPhone,100.0,False,0.0,1.5,3.5,0.0
167,Winterfell,0,5.0,1.0,Android,0.0,False,100.0,1.73,5.0,0.0
168,Astapor,2,5.0,1.0,Android,0.0,False,100.0,3.37,3.5,0.0
169,Winterfell,0,1.0,1.0,iPhone,0.0,True,100.0,2.11,5.0,0.0
171,Winterfell,1,4.0,1.0,iPhone,0.0,False,100.0,2.2,5.0,0.0
172,Winterfell,1,5.0,1.0,Android,0.0,False,50.0,3.88,5.0,0.0
173,Astapor,1,2.0,1.0,Android,0.0,False,100.0,9.77,5.0,0.0
174,Astapor,3,4.5,1.0,Android,0.0,True,0.0,1.75,5.0,0.0
175,King's Landing,1,4.0,1.25,iPhone,100.0,False,100.0,3.56,5.0,0.0
177,King's Landing,0,5.0,1.0,iPhone,0.0,False,75.0,14.37,5.0,0.0
178,Astapor,1,4.0,1.0,iPhone,0.0,False,100.0,4.46,2.0,0.0
179,Astapor,1,4.0,1.0,iPhone,0.0,False,100.0,12.52,5.0,0.0
180,Astapor,2,3.9,1.02,iPhone,3.5,False,69.0,4.2,4.6,1.0
181,Winterfell,1,3.0,1.0,Android,0.0,True,0.0,2.74,4.0,0.0
183,King's Landing,1,5.0,1.0,iPhone,0.0,False,0.0,7.54,5.0,0.0
184,Winterfell,0,5.0,1.0,iPhone,0.0,True,75.0,10.16,5.0,0.0
186,King's Landing,1,5.0,1.05,iPhone,20.0,False,20.0,3.15,3.8,1.0
187,Winterfell,1,5.0,1.0,iPhone,0.0,False,0.0,4.54,5.0,0.0
189,Winterfell,2,5.0,1.0,iPhone,0.0,True,33.3,8.91,5.0,1.0
190,Winterfell,0,4.0,1.25,Android,50.0,False,75.0,10.37,4.0,0.0
192,Winterfell,3,4.5,1.0,iPhone,0.0,True,20.0,4.42,4.5,1.0
193,Winterfell,4,5.0,1.0,iPhone,0.0,False,100.0,5.99,3.0,0.0
194,King's Landing,0,5.0,1.04,iPhone,14.3,True,42.9,1.78,5.0,1.0
195,Winterfell,1,5.0,1.0,iPhone,0.0,False,100.0,1.27,5.0,0.0
196,Winterfell,3,4.0,1.0,iPhone,0.0,True,62.5,8.0,4.8,1.0
197,Winterfell,0,3.7,2.25,iPhone,66.7,False,33.3,3.75,5.0,0.0
198,Winterfell,1,5.0,2.0,iPhone,50.0,False,0.0,1.3800000000000001,4.0,0.0
199,Winterfell,0,5.0,1.0,iPhone,0.0,False,100.0,4.58,5.0,0.0
200,Winterfell,22,4.6,1.02,iPhone,2.7,True,83.8,2.34,4.6,1.0
201,King's Landing,1,5.0,1.0,iPhone,0.0,False,100.0,27.32,5.0,1.0
202,Winterfell,2,4.6,1.0,iPhone,0.0,False,57.1,2.5,4.5,0.0
203,King's Landing,2,4.5,1.2,iPhone,26.1,True,52.2,6.87,5.0,1.0
204,Winterfell,0,5.0,1.0,iPhone,0.0,False,66.7,5.28,5.0,0.0
205,Astapor,0,5.0,1.0,iPhone,0.0,True,100.0,2.09,5.0,0.0
206,Winterfell,0,5.0,1.0,iPhone,0.0,False,100.0,3.69,5.0,1.0
207,Astapor,3,5.0,1.0,Android,0.0,False,0.0,2.52,5.0,0.0
209,Astapor,0,5.0,1.0,Android,0.0,False,100.0,11.78,5.0,0.0
210,Winterfell,0,5.0,1.0,iPhone,0.0,False,100.0,16.88,3.0,0.0
211,King's Landing,0,5.0,1.0,iPhone,0.0,False,0.0,2.34,5.0,1.0
212,Winterfell,0,5.0,1.0,iPhone,0.0,False,100.0,0.89,3.0,0.0
213,Winterfell,1,5.0,1.0,Android,0.0,False,0.0,3.07,5.0,0.0
214,Astapor,7,4.3,1.04,iPhone,7.1,False,57.1,3.81,4.9,1.0
216,King's Landing,0,4.5,1.5,Android,50.0,False,50.0,2.7,4.5,1.0
217,Winterfell,8,4.7,1.0,iPhone,0.0,True,72.2,2.66,4.3,1.0
218,Winterfell,1,5.0,1.75,Android,100.0,False,0.0,2.6,5.0,0.0
220,Winterfell,6,4.9,1.04,iPhone,7.7,False,0.0,2.34,4.8,1.0
221,Winterfell,1,4.3,1.13,Android,25.0,True,25.0,10.61,5.0,0.0
224,Winterfell,0,4.6,1.0,Android,0.0,False,40.0,1.69,5.0,1.0
225,Astapor,3,4.8,1.0,iPhone,0.0,True,39.1,5.04,4.9,1.0
226,King's Landing,0,5.0,1.0,iPhone,0.0,False,100.0,6.8,5.0,1.0
227,Winterfell,0,5.0,1.0,iPhone,0.0,True,100.0,17.87,5.0,0.0
228,Astapor,1,5.0,1.0,Android,0.0,True,0.0,24.43,5.0,0.0
229,King's Landing,2,5.0,1.04,iPhone,4.9,False,46.3,2.69,4.7,1.0
230,Winterfell,1,1.0,1.0,iPhone,0.0,True,100.0,18.61,2.0,0.0
232,Winterfell,4,5.0,1.0,iPhone,0.0,True,45.5,7.17,4.3,1.0
233,Winterfell,0,5.0,1.0,Android,0.0,False,100.0,12.96,5.0,0.0
235,Winterfell,0,4.0,1.0,Android,0.0,True,42.9,1.62,5.0,1.0
236,Astapor,1,4.5,1.0,iPhone,0.0,False,100.0,7.6,5.0,0.0
237,King's Landing,6,5.0,1.09,iPhone,18.2,False,45.5,1.53,4.8,1.0
239,Astapor,2,5.0,1.0,iPhone,0.0,False,33.3,16.19,4.3,1.0
240,Astapor,0,5.0,1.0,iPhone,0.0,False,100.0,3.28,5.0,0.0
242,Astapor,5,4.4,1.0,iPhone,0.0,True,87.5,6.46,4.9,1.0
243,Winterfell,0,5.0,1.13,iPhone,25.0,False,25.0,5.05,4.3,0.0
244,Astapor,2,4.5,1.08,iPhone,16.7,True,83.3,13.83,4.8,0.0
245,Astapor,1,4.0,1.0,Android,0.0,False,100.0,3.42,5.0,0.0
246,Winterfell,0,5.0,1.3800000000000001,iPhone,50.0,False,50.0,3.04,5.0,0.0
248,Winterfell,1,4.5,1.0,iPhone,0.0,False,50.0,19.07,5.0,1.0
249,King's Landing,2,5.0,1.0,Android,0.0,False,100.0,1.13,5.0,0.0
251,Winterfell,2,5.0,1.0,iPhone,0.0,False,100.0,8.09,5.0,0.0
255,Astapor,1,5.0,1.0,iPhone,0.0,False,0.0,10.73,5.0,0.0
256,Winterfell,0,5.0,1.0,iPhone,0.0,False,100.0,17.63,5.0,0.0
257,Winterfell,1,3.0,1.0,Android,0.0,True,100.0,6.2,3.0,0.0
258,Astapor,0,2.7,1.0,iPhone,0.0,True,45.5,4.56,4.9,0.0
259,Winterfell,4,4.2,1.0,iPhone,0.0,True,45.5,2.99,4.3,1.0
260,Winterfell,2,5.0,1.0,iPhone,0.0,False,87.5,3.56,5.0,1.0
261,Winterfell,0,5.0,1.0,iPhone,0.0,True,100.0,1.59,5.0,1.0
262,Winterfell,2,4.0,1.0,iPhone,0.0,False,100.0,0.68,5.0,0.0
263,King's Landing,3,4.3,1.0,Android,0.0,True,66.7,9.15,5.0,0.0
264,Astapor,5,4.5,1.0,iPhone,0.0,False,44.4,5.76,5.0,0.0
265,Winterfell,5,4.6,1.0,iPhone,0.0,True,55.6,3.19,4.7,1.0
266,Winterfell,3,4.0,1.0,Android,0.0,True,100.0,0.7000000000000001,4.7,0.0
267,Winterfell,0,5.0,1.25,iPhone,25.0,False,0.0,7.69,5.0,0.0
268,Winterfell,0,5.0,1.0,iPhone,0.0,True,37.5,1.86,4.5,1.0
269,Astapor,0,5.0,1.0,iPhone,0.0,True,100.0,5.82,5.0,0.0
270,King's Landing,3,5.0,1.09,iPhone,12.5,False,50.0,3.84,5.0,1.0
273,Winterfell,1,5.0,1.0,iPhone,0.0,False,100.0,1.17,5.0,0.0
275,Winterfell,5,4.6,1.1,Android,15.4,True,69.2,4.14,5.0,0.0
276,Astapor,0,5.0,1.0,Android,0.0,True,100.0,3.23,5.0,0.0
278,Astapor,0,5.0,1.0,iPhone,0.0,False,0.0,3.29,4.8,1.0
280,King's Landing,2,4.5,1.21,iPhone,42.9,True,14.3,2.5100000000000002,4.3,1.0
282,King's Landing,3,3.8,1.19,iPhone,17.6,False,76.5,1.83,5.0,0.0
283,Astapor,6,4.8,1.08,iPhone,16.7,False,33.3,1.8800000000000001,5.0,0.0
284,Astapor,4,4.0,1.13,iPhone,25.0,False,25.0,3.34,4.5,0.0
285,Astapor,1,4.9,1.12,iPhone,14.8,True,44.4,7.81,4.8,1.0
288,Astapor,7,3.7,1.0,iPhone,0.0,True,78.6,3.3,4.7,1.0
290,Astapor,5,4.9,1.22,iPhone,27.3,False,63.6,2.41,4.9,1.0
291,Astapor,1,5.0,1.0,iPhone,0.0,False,100.0,8.08,5.0,0.0
292,King's Landing,0,4.2,1.29,iPhone,14.3,False,71.4,2.43,5.0,1.0
293,Astapor,0,5.0,1.0,iPhone,0.0,True,100.0,0.59,5.0,0.0
295,King's Landing,1,5.0,1.0,Android,0.0,True,0.0,5.21,5.0,0.0
296,Winterfell,2,5.0,1.0,iPhone,0.0,False,33.3,2.96,5.0,0.0
297,King's Landing,1,5.0,1.0,iPhone,0.0,False,100.0,5.93,5.0,1.0
298,Astapor,1,5.0,1.25,Android,100.0,False,100.0,10.43,5.0,0.0
299,Winterfell,9,5.0,1.0,Android,0.0,False,88.3,1.85,4.6,1.0
300,Winterfell,9,5.0,1.23,iPhone,20.9,True,56.7,3.03,4.6,1.0
301,Winterfell,0,5.0,1.0,iPhone,0.0,False,33.3,4.65,5.0,0.0
302,Winterfell,6,4.3,1.0,Android,0.0,False,66.7,2.82,4.8,0.0
303,Winterfell,0,5.0,1.0,iPhone,0.0,False,33.3,2.05,4.7,0.0
304,Winterfell,0,5.0,2.0,Android,50.0,True,100.0,19.81,5.0,0.0
305,King's Landing,8,4.0,1.01,iPhone,1.7,True,70.9,7.5,4.8,1.0
306,King's Landing,1,5.0,1.0,Android,0.0,True,0.0,1.6400000000000001,5.0,0.0
307,Winterfell,2,4.6,1.0,iPhone,0.0,True,57.1,3.18,4.9,1.0
308,Winterfell,1,2.0,1.0,iPhone,0.0,False,50.0,4.56,4.5,1.0
310,Winterfell,4,4.0,1.0,iPhone,0.0,True,0.0,1.84,5.0,0.0
311,Winterfell,1,5.0,1.0,Android,0.0,False,100.0,4.07,2.5,0.0
312,King's Landing,15,4.8,1.06,Android,11.7,True,60.0,2.48,4.9,1.0
313,King's Landing,0,4.9,1.0,Android,0.0,True,23.1,2.34,4.9,1.0
314,Winterfell,5,4.8,1.0,iPhone,0.0,True,100.0,1.8900000000000001,4.6,0.0
316,Astapor,4,5.0,1.04,Android,16.7,False,66.7,3.83,5.0,0.0
317,Astapor,1,5.0,1.0,iPhone,0.0,False,0.0,14.59,5.0,0.0
318,King's Landing,0,5.0,1.0,Android,0.0,False,100.0,1.43,5.0,1.0
319,King's Landing,1,5.0,1.0,iPhone,0.0,False,33.3,6.46,5.0,1.0
321,Astapor,2,5.0,1.0,iPhone,0.0,False,100.0,5.21,5.0,0.0
322,Astapor,0,5.0,1.0,Android,0.0,False,100.0,14.79,5.0,0.0
323,Astapor,2,4.5,1.0,Android,0.0,False,50.0,3.84,4.9,0.0
324,Astapor,0,3.3,1.0,iPhone,0.0,False,25.0,7.34,5.0,0.0
325,Winterfell,0,4.3,1.0,iPhone,0.0,True,100.0,3.13,5.0,0.0
327,Winterfell,1,5.0,1.0,iPhone,0.0,False,0.0,4.42,5.0,0.0
328,King's Landing,1,4.8,1.0,iPhone,0.0,False,60.0,5.73,5.0,1.0
330,King's Landing,2,4.9,1.03,iPhone,13.0,False,65.2,2.88,4.9,1.0
331,Astapor,1,5.0,1.0,iPhone,0.0,True,0.0,6.75,5.0,0.0
332,Astapor,1,5.0,1.0,iPhone,0.0,True,0.0,6.25,5.0,0.0
333,King's Landing,8,4.5,1.05,iPhone,8.6,True,93.1,2.5100000000000002,4.9,1.0
335,Astapor,4,5.0,1.0,Android,0.0,True,50.0,10.1,5.0,0.0
336,Winterfell,1,4.0,1.13,iPhone,25.0,False,100.0,7.04,5.0,0.0
337,King's Landing,0,5.0,1.0,Android,0.0,True,40.0,3.23,5.0,1.0
338,Astapor,1,5.0,1.0,iPhone,0.0,False,100.0,3.95,5.0,1.0
339,King's Landing,4,4.9,1.1,iPhone,8.6,True,62.9,2.48,4.8,1.0
340,Winterfell,4,3.7,1.1,iPhone,8.3,True,66.7,1.76,4.8,1.0
341,Astapor,1,5.0,1.0,iPhone,0.0,True,50.0,2.41,5.0,0.0
342,Winterfell,1,5.0,1.0,Android,0.0,False,100.0,1.37,5.0,0.0
343,Astapor,1,3.0,1.0,iPhone,0.0,True,25.0,1.55,5.0,0.0
345,King's Landing,5,5.0,1.02,iPhone,9.1,True,81.8,1.6400000000000001,4.9,1.0
346,Astapor,0,5.0,1.0,iPhone,0.0,False,100.0,4.95,4.7,0.0
347,Winterfell,2,3.5,1.0,Android,0.0,False,0.0,4.63,5.0,0.0
348,Winterfell,0,5.0,1.0,iPhone,0.0,False,100.0,18.86,5.0,0.0
350,King's Landing,4,5.0,1.0,iPhone,0.0,False,64.0,2.0,4.8,1.0
351,Astapor,4,4.7,1.0,Android,0.0,False,50.0,0.84,5.0,0.0
352,Astapor,2,4.0,1.0,iPhone,0.0,True,0.0,7.09,5.0,0.0
354,Winterfell,0,5.0,2.0,Android,100.0,False,0.0,2.85,5.0,0.0
356,Winterfell,1,4.0,1.0,Android,0.0,False,100.0,0.0,5.0,0.0
357,Astapor,1,4.6,1.0,iPhone,0.0,True,85.7,3.96,4.7,1.0
358,Astapor,0,5.0,1.03,iPhone,12.5,True,62.5,1.71,4.8,1.0
359,Winterfell,1,3.8,1.0,Android,0.0,False,80.0,8.17,4.8,1.0
360,King's Landing,0,5.0,1.33,iPhone,33.3,True,33.3,5.55,5.0,0.0
361,Astapor,1,5.0,1.0,Android,0.0,False,50.0,3.29,4.8,0.0
363,Winterfell,0,4.9,1.0,iPhone,0.0,False,75.0,5.96,4.8,1.0
364,King's Landing,1,5.0,1.0,iPhone,0.0,False,0.0,6.79,5.0,0.0
365,Winterfell,0,4.9,1.0,iPhone,0.0,False,28.6,2.05,5.0,1.0
366,Astapor,6,4.9,1.02,iPhone,10.0,False,50.0,4.11,4.9,1.0
367,King's Landing,22,4.8,1.08,Android,11.1,True,88.9,6.07,4.7,0.0
368,King's Landing,0,5.0,1.0,Android,0.0,False,100.0,5.64,5.0,0.0
369,Astapor,1,5.0,1.0,iPhone,0.0,False,100.0,4.69,5.0,1.0
371,King's Landing,3,5.0,1.0,Android,0.0,False,33.3,4.1,5.0,0.0
373,Astapor,1,5.0,1.0,iPhone,0.0,True,100.0,7.8,5.0,0.0
374,Winterfell,3,4.0,1.0,Android,0.0,False,66.7,2.7,5.0,0.0
375,Winterfell,5,4.8,1.0,iPhone,0.0,False,61.5,2.17,4.9,0.0
376,Winterfell,6,4.5,1.0,iPhone,0.0,False,60.0,3.12,4.9,0.0
378,King's Landing,5,4.0,1.09,iPhone,9.1,True,45.5,8.41,4.8,1.0
379,Winterfell,1,5.0,1.0,iPhone,0.0,False,100.0,6.16,5.0,1.0
380,Astapor,0,5.0,1.0,Android,0.0,False,33.3,9.5,4.7,0.0
382,Astapor,2,5.0,1.0,Android,0.0,False,50.0,14.18,5.0,0.0
384,Astapor,0,5.0,1.07,iPhone,14.3,False,57.1,8.53,5.0,1.0
385,King's Landing,2,5.0,1.19,iPhone,25.0,False,12.5,7.05,5.0,1.0
